시설물구분,시설물명,주소,시설물종류,내진성능
건축물,낙민동산경로당,낙민동 20-8,다중이용건축물,내진성능양호
건축물,세실할머니할아버지경로당,명장동 540-9,다중이용건축물,내진보강완료
건축물,원리할머니할아버지경로당,안락동 180-3,다중이용건축물,내진성능양호
건축물,수민할아버지할머니경로당,수안동 34-8,다중이용건축물,내진성능양호
건축물,명장할머니할아버지경로당,명장동 136-38,다중이용건축물,내진성능양호
건축물,금정할아버지할머니경로당,온천동 1535-4,다중이용건축물,내진성능양호
건축물,사직2동주민센터,사직동 1036,다중이용건축물,내진설계적용
건축물,동래구장애인복지관,안락동 436-19,다중이용건축물,내진설계적용
건축물,동래읍성도서관,칠산동 21-1,다중이용건축물,내진설계적용
건축물,안락누리도서관,안락동 459-4,다중이용건축물,내진설계적용
건축물,명장2동주민센터,명장동 326-4,다중이용건축물,내진보강완료
건축물,동래구노인회관,수안동 177-1,다중이용건축물,내진보강완료
건축물,수민동행정복지센터,낙민동 135-10,다중이용건축물,내진성능양호
교량,동래교,온천동 1750-1,도로교량,내진성능양호
교량,옥천교,온천동 산74-13,도로교량,내진보강완료
교량,새들교,온천동 1119-95,도로교량,내진성능양호
교량,금강교,온천동 1716-1,도로교량,내진성능양호
건축물,동래구노인복지관,명륜동 700-199,다중이용건축물,내진설계적용
건축물,동래안전드림센터,명장동 619,다중이용건축물,내진설계적용
건축물,동래문화회관 생활문화관,명륜동 137,다중이용건축물,내진성능양호
건축물,동래문화회관 충렬관,명륜동 137,다중이용건축물,내진성능양호
건축물,보건소,명륜동 702-54,다중이용건축물,내진성능양호
건축물,동래구국민체육센터,온천동 1448-2,다중이용건축물,내진설계적용
건축물,복산동주민센터,복천동 564,다중이용건축물,내진성능양호
건축물,명륜동주민센터,명륜동 700-200,다중이용건축물,내진보강완료
교량,미남교,온천동 1205-1,도로교량,내진보강완료
건축물,온천1동주민센터,온천동 221-1,다중이용건축물,내진성능양호
건축물,사직1동주민센터,사직동 50-16,다중이용건축물,내진성능양호
교량,온천2호인도교,수안동 709-1,도로교량,내진보강완료
건축물,온천3동행정복지센터,온천동 1246-6,다중이용건축물,내진보강완료
교량,세병교(신교),수안동 11-37,도로교량,내진보강완료
건축물,사직3동주민센터,사직동 123-23,다중이용건축물,내진성능양호
건축물,동래구보훈회관,수안동 39-35,다중이용건축물,내진설계적용
건축물,동래종합사회복지관,명장동 508-72,다중이용건축물,내진성능양호
