호선,광고종류,광고대행사,상세위치
1호선,역구내 광고,㈜푸름애드,대합실
1호선,사각기둥 광고,㈜애드클래스,대합실
1호선,디지털 사이니지 광고,㈜비엔애드,"대합실, 승강장"
1호선,외부출입구 벽면 조명 광고,㈜아프로애드컴,역사출구 벽면
1호선,외부출입구 계단 상단 조명 광고,㈜에스유미디어,역사출구 계단 상단
1호선,폴사인 광고,㈜에스유미디어,역사 출구
1호선,PSD 광고,㈜리드,승강장 스크린도어
1호선,민자 3개역 PSD 광고,㈜푸름애드,승강장 스크린도어(남포·부산역·연산)
1호선,전동차 광고,㈜애드21,전동차 내
1호선,전동차내 음성광고,㈜에스유미디어,전동차 내
2호선,역구내 광고,㈜애드21,대합실
2호선,서면역 역구내 및 PSD 광고,㈜미준기획,"서면역 대합실, 승강장"
2호선,출구벽면 광고,㈜애드스토리,역사출구 벽면
2호선,폴사인 광고,㈜비엔애드,역사 출구
2호선,PSD 광고,㈜에스유미디어,승강장 스크린도어
2호선,민자 3개역 PSD 광고,㈜푸름애드,승강장 스크린도어(센텀·경성대부경대·사상)
2호선,전동차 광고,㈜애드21,전동차 내
2호선,전동차내 음성광고,㈜청운기업,전동차 내
3호선,역구내 및 전동차 광고,㈜애드스토리,"대합실, 전동차 내"
3호선,스크린도어 광고,㈜애드스토리,승강장 스크린도어
4호선,전동차내 및 PSD 광고,㈜푸름애드,"전동차 내, 승강장 스크린도어"
"1,2호선",미끄럼조심 래핑 광고,㈜에스유미디어,역구내 계단 상단
"1,2호선",관광안내표지판 광고,신영미디어㈜,대합실
"1,2호선",주요 4개역 디지털 광고,㈜에스유미디어,"대합실, 승강장(부산역·서면·센텀·사상)"
"1,2호선",승강장 동영상 광고,㈜애드21,승강장
"1,2호선",승강장 음성광고,㈜에스유미디어,승강장
"1,2호선",E/S 측면 광고,㈜애드스토리,E/S 측면
"1,2호선",폴사인 광고,㈜에스유미디어,역사 출구
"1,2호선",전동차 출입문 상단 래핑 광고,㈜애드스토리,전동차 내
